cqlsh> TRACING ON;
Now Tracing is enabled
cqlsh> SELECT * FROM timur.task4_mv WHERE NAME = 'Ivan' AND dept_name = 'HR' ALLOW FILTERING;

 id | dept_name | name
----+-----------+------

(0 rows)

Tracing session: 366e2250-1069-11eb-a2f3-41899bc8b0fd

 activity                                                                                                                     | timestamp                  | source        | source_elapsed | client
                                      RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 11:09:23.601000 | 172.31.77.183 |            216 | 172.31.78.3
                                                              Enqueuing request to /172.31.75.9 [Native-Transport-Requests-1] | 2020-10-17 11:09:23.601000 |   172.31.78.3 |          28116 | 172.31.78.3
                Executing seq scan across 1 sstables for (max(-8729613095813447996), max(-8696425413345250844)] [ReadStage-2] | 2020-10-17 11:09:23.601000 |   172.31.75.9 |             93 | 172.31.78.3
                Executing seq scan across 1 sstables for (max(-8696425413345250844), max(-8519280398126249081)] [ReadStage-9] | 2020-10-17 11:09:23.601000 | 172.31.77.183 |            366 | 172.31.78.3
                                                            Enqueuing request to /172.31.77.183 [Native-Transport-Requests-1] | 2020-10-17 11:09:23.601000 |   172.31.78.3 |          28161 | 172.31.78.3
                                      RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 11:09:23.601000 |   172.31.75.9 |             85 | 172.31.78.3
                                      RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 11:09:23.601000 | 172.31.77.183 |            390 | 172.31.78.3
                                                              Enqueuing request to /172.31.75.9 [Native-Transport-Requests-1] | 2020-10-17 11:09:23.601000 |   172.31.78.3 |          28202 | 172.31.78.3
                                      RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 11:09:23.601000 |   172.31.75.9 |            136 | 172.31.78.3
                Executing seq scan across 1 sstables for (max(-8417132403619784681), max(-8407463119720348930)] [ReadStage-2] | 2020-10-17 11:09:23.601000 | 172.31.77.183 |            515 | 172.31.78.3
                               Sending RANGE_SLICE message to /172.31.77.183 [MessagingService-Outgoing-/172.31.77.183-Small] | 2020-10-17 11:09:23.601000 |   172.31.78.3 |          28221 | 172.31.78.3
                                      RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 11:09:23.601000 |   172.31.75.9 |            157 | 172.31.78.3
                                                            Enqueuing request to /172.31.77.183 [Native-Transport-Requests-1] | 2020-10-17 11:09:23.601001 |   172.31.78.3 |          28231 | 172.31.78.3
